Orthogroup	Sorghum	Rice
OG0002658	"Sobic.003G136900.1.p pacid=37913327 transcript=Sobic.003G136900.1 locus=Sobic.003G136900 ID=Sobic.003G136900.1.v3.2 annot-version=v3.1.1, Sobic.009G036400.1.p pacid=37921778 transcript=Sobic.009G036400.1 locus=Sobic.009G036400 ID=Sobic.009G036400.1.v3.2 annot-version=v3.1.1"	LOC_Os05g04740.2 pacid=33158013 transcript=LOC_Os05g04740.2 locus=LOC_Os05g04740 ID=LOC_Os05g04740.2.MSUv7.0 annot-version=v7.0
OG0008178	Sobic.003G363400.1.p pacid=37913331 transcript=Sobic.003G363400.1 locus=Sobic.003G363400 ID=Sobic.003G363400.1.v3.2 annot-version=v3.1.1	LOC_Os01g64000.1 pacid=33121249 transcript=LOC_Os01g64000.1 locus=LOC_Os01g64000 ID=LOC_Os01g64000.1.MSUv7.0 annot-version=v7.0
OG0017375	Sobic.003G072801.1.p pacid=37913332 transcript=Sobic.003G072801.1 locus=Sobic.003G072801 ID=Sobic.003G072801.1.v3.2 annot-version=v3.1.1	LOC_Os01g05440.1 pacid=33119180 transcript=LOC_Os01g05440.1 locus=LOC_Os01g05440 ID=LOC_Os01g05440.1.MSUv7.0 annot-version=v7.0
OG0013628	Sobic.003G081800.1.p pacid=37913333 transcript=Sobic.003G081800.1 locus=Sobic.003G081800 ID=Sobic.003G081800.1.v3.2 annot-version=v3.1.1	LOC_Os01g04390.1 pacid=33123407 transcript=LOC_Os01g04390.1 locus=LOC_Os01g04390 ID=LOC_Os01g04390.1.MSUv7.0 annot-version=v7.0
OG0009150	Sobic.003G022400.1.p pacid=37913334 transcript=Sobic.003G022400.1 locus=Sobic.003G022400 ID=Sobic.003G022400.1.v3.2 annot-version=v3.1.1	LOC_Os01g11220.1 pacid=33122303 transcript=LOC_Os01g11220.1 locus=LOC_Os01g11220 ID=LOC_Os01g11220.1.MSUv7.0 annot-version=v7.0
OG0012691	Sobic.003G438600.1.p pacid=37913335 transcript=Sobic.003G438600.1 locus=Sobic.003G438600 ID=Sobic.003G438600.1.v3.2 annot-version=v3.1.1	LOC_Os01g73390.1 pacid=33123897 transcript=LOC_Os01g73390.1 locus=LOC_Os01g73390 ID=LOC_Os01g73390.1.MSUv7.0 annot-version=v7.0
OG0015327	Sobic.003G327500.1.p pacid=37913336 transcript=Sobic.003G327500.1 locus=Sobic.003G327500 ID=Sobic.003G327500.1.v3.2 annot-version=v3.1.1	LOC_Os01g58860.1 pacid=33125446 transcript=LOC_Os01g58860.1 locus=LOC_Os01g58860 ID=LOC_Os01g58860.1.MSUv7.0 annot-version=v7.0
OG0012658	"Sobic.003G085400.1.p pacid=37913337 transcript=Sobic.003G085400.1 locus=Sobic.003G085400 ID=Sobic.003G085400.1.v3.2 annot-version=v3.1.1, Sobic.003G085300.1.p pacid=37913393 transcript=Sobic.003G085300.1 locus=Sobic.003G085300 ID=Sobic.003G085300.1.v3.2 annot-version=v3.1.1"	"LOC_Os01g04040.1 pacid=33119734 transcript=LOC_Os01g04040.1 locus=LOC_Os01g04040 ID=LOC_Os01g04040.1.MSUv7.0 annot-version=v7.0, LOC_Os01g04050.1 pacid=33122056 transcript=LOC_Os01g04050.1 locus=LOC_Os01g04050 ID=LOC_Os01g04050.1.MSUv7.0 annot-version=v7.0"
OG0007022	Sobic.003G186000.1.p pacid=37913339 transcript=Sobic.003G186000.1 locus=Sobic.003G186000 ID=Sobic.003G186000.1.v3.2 annot-version=v3.1.1	LOC_Os01g37120.1 pacid=33123254 transcript=LOC_Os01g37120.1 locus=LOC_Os01g37120 ID=LOC_Os01g37120.1.MSUv7.0 annot-version=v7.0
OG0008197	Sobic.003G309500.1.p pacid=37913341 transcript=Sobic.003G309500.1 locus=Sobic.003G309500 ID=Sobic.003G309500.1.v3.2 annot-version=v3.1.1	LOC_Os01g56350.3 pacid=33123069 transcript=LOC_Os01g56350.3 locus=LOC_Os01g56350 ID=LOC_Os01g56350.3.MSUv7.0 annot-version=v7.0
OG0000145	Sobic.003G400700.1.p pacid=37913343 transcript=Sobic.003G400700.1 locus=Sobic.003G400700 ID=Sobic.003G400700.1.v3.2 annot-version=v3.1.1	LOC_Os09g33910.1 pacid=33142352 transcript=LOC_Os09g33910.1 locus=LOC_Os09g33910 ID=LOC_Os09g33910.1.MSUv7.0 annot-version=v7.0
OG0005130	Sobic.003G045100.1.p pacid=37913347 transcript=Sobic.003G045100.1 locus=Sobic.003G045100 ID=Sobic.003G045100.1.v3.2 annot-version=v3.1.1	LOC_Os01g08290.1 pacid=33121268 transcript=LOC_Os01g08290.1 locus=LOC_Os01g08290 ID=LOC_Os01g08290.1.MSUv7.0 annot-version=v7.0
OG0010282	Sobic.003G123100.1.p pacid=37913348 transcript=Sobic.003G123100.1 locus=Sobic.003G123100 ID=Sobic.003G123100.1.v3.2 annot-version=v3.1.1	LOC_Os12g43120.1 pacid=33150556 transcript=LOC_Os12g43120.1 locus=LOC_Os12g43120 ID=LOC_Os12g43120.1.MSUv7.0 annot-version=v7.0
OG0002313	Sobic.003G335400.2.p pacid=37913350 transcript=Sobic.003G335400.2 locus=Sobic.003G335400 ID=Sobic.003G335400.2.v3.2 annot-version=v3.1.1	LOC_Os01g60120.3 pacid=33125455 transcript=LOC_Os01g60120.3 locus=LOC_Os01g60120 ID=LOC_Os01g60120.3.MSUv7.0 annot-version=v7.0
OG0008723	Sobic.003G370000.1.p pacid=37913356 transcript=Sobic.003G370000.1 locus=Sobic.003G370000 ID=Sobic.003G370000.1.v3.2 annot-version=v3.1.1	"LOC_Os04g59440.1 pacid=33113205 transcript=LOC_Os04g59440.1 locus=LOC_Os04g59440 ID=LOC_Os04g59440.1.MSUv7.0 annot-version=v7.0, LOC_Os01g64960.1 pacid=33119277 transcript=LOC_Os01g64960.1 locus=LOC_Os01g64960 ID=LOC_Os01g64960.1.MSUv7.0 annot-version=v7.0"
OG0009044	Sobic.003G261800.2.p pacid=37913358 transcript=Sobic.003G261800.2 locus=Sobic.003G261800 ID=Sobic.003G261800.2.v3.2 annot-version=v3.1.1	LOC_Os07g18250.2 pacid=33114325 transcript=LOC_Os07g18250.2 locus=LOC_Os07g18250 ID=LOC_Os07g18250.2.MSUv7.0 annot-version=v7.0
OG0001123	"Sobic.003G250500.2.p pacid=37913359 transcript=Sobic.003G250500.2 locus=Sobic.003G250500 ID=Sobic.003G250500.2.v3.2 annot-version=v3.1.1, Sobic.009G232700.2.p pacid=37919131 transcript=Sobic.009G232700.2 locus=Sobic.009G232700 ID=Sobic.009G232700.2.v3.2 annot-version=v3.1.1"	LOC_Os05g48960.4 pacid=33158223 transcript=LOC_Os05g48960.4 locus=LOC_Os05g48960 ID=LOC_Os05g48960.4.MSUv7.0 annot-version=v7.0
OG0008454	Sobic.003G199300.1.p pacid=37913363 transcript=Sobic.003G199300.1 locus=Sobic.003G199300 ID=Sobic.003G199300.1.v3.2 annot-version=v3.1.1	LOC_Os01g40250.1 pacid=33119037 transcript=LOC_Os01g40250.1 locus=LOC_Os01g40250 ID=LOC_Os01g40250.1.MSUv7.0 annot-version=v7.0
OG0000456	Sobic.003G287000.1.p pacid=37913364 transcript=Sobic.003G287000.1 locus=Sobic.003G287000 ID=Sobic.003G287000.1.v3.2 annot-version=v3.1.1	LOC_Os01g53240.1 pacid=33125330 transcript=LOC_Os01g53240.1 locus=LOC_Os01g53240 ID=LOC_Os01g53240.1.MSUv7.0 annot-version=v7.0
OG0014826	Sobic.003G198900.1.p pacid=37913365 transcript=Sobic.003G198900.1 locus=Sobic.003G198900 ID=Sobic.003G198900.1.v3.2 annot-version=v3.1.1	LOC_Os04g25570.1 pacid=33108270 transcript=LOC_Os04g25570.1 locus=LOC_Os04g25570 ID=LOC_Os04g25570.1.MSUv7.0 annot-version=v7.0
OG0010503	Sobic.003G107900.1.p pacid=37913366 transcript=Sobic.003G107900.1 locus=Sobic.003G107900 ID=Sobic.003G107900.1.v3.2 annot-version=v3.1.1	LOC_Os01g01190.1 pacid=33123594 transcript=LOC_Os01g01190.1 locus=LOC_Os01g01190 ID=LOC_Os01g01190.1.MSUv7.0 annot-version=v7.0
OG0002479	"Sobic.003G434500.1.p pacid=37913367 transcript=Sobic.003G434500.1 locus=Sobic.003G434500 ID=Sobic.003G434500.1.v3.2 annot-version=v3.1.1, Sobic.003G425900.2.p pacid=37913451 transcript=Sobic.003G425900.2 locus=Sobic.003G425900 ID=Sobic.003G425900.2.v3.2 annot-version=v3.1.1, Sobic.003G434300.1.p pacid=37913833 transcript=Sobic.003G434300.1 locus=Sobic.003G434300 ID=Sobic.003G434300.1.v3.2 annot-version=v3.1.1"	"LOC_Os01g72720.1 pacid=33121480 transcript=LOC_Os01g72720.1 locus=LOC_Os01g72720 ID=LOC_Os01g72720.1.MSUv7.0 annot-version=v7.0, LOC_Os03g57050.1 pacid=33130876 transcript=LOC_Os03g57050.1 locus=LOC_Os03g57050 ID=LOC_Os03g57050.1.MSUv7.0 annot-version=v7.0"
OG0000250	Sobic.003G044800.1.p pacid=37913370 transcript=Sobic.003G044800.1 locus=Sobic.003G044800 ID=Sobic.003G044800.1.v3.2 annot-version=v3.1.1	LOC_Os01g08330.1 pacid=33124523 transcript=LOC_Os01g08330.1 locus=LOC_Os01g08330 ID=LOC_Os01g08330.1.MSUv7.0 annot-version=v7.0
OG0007275	"Sobic.003G239800.2.p pacid=37913371 transcript=Sobic.003G239800.2 locus=Sobic.003G239800 ID=Sobic.003G239800.2.v3.2 annot-version=v3.1.1, Sobic.008G062000.1.p pacid=37926684 transcript=Sobic.008G062000.1 locus=Sobic.008G062000 ID=Sobic.008G062000.1.v3.2 annot-version=v3.1.1"	LOC_Os12g08230.1 pacid=33150432 transcript=LOC_Os12g08230.1 locus=LOC_Os12g08230 ID=LOC_Os12g08230.1.MSUv7.0 annot-version=v7.0
OG0012037	"Sobic.003G178500.1.p pacid=37913374 transcript=Sobic.003G178500.1 locus=Sobic.003G178500 ID=Sobic.003G178500.1.v3.2 annot-version=v3.1.1, Sobic.003G178700.1.p pacid=37916224 transcript=Sobic.003G178700.1 locus=Sobic.003G178700 ID=Sobic.003G178700.1.v3.2 annot-version=v3.1.1"	LOC_Os01g34560.1 pacid=33126519 transcript=LOC_Os01g34560.1 locus=LOC_Os01g34560 ID=LOC_Os01g34560.1.MSUv7.0 annot-version=v7.0
OG0002578	Sobic.003G031900.1.p pacid=37913376 transcript=Sobic.003G031900.1 locus=Sobic.003G031900 ID=Sobic.003G031900.1.v3.2 annot-version=v3.1.1	LOC_Os01g09830.1 pacid=33124596 transcript=LOC_Os01g09830.1 locus=LOC_Os01g09830 ID=LOC_Os01g09830.1.MSUv7.0 annot-version=v7.0
OG0017661	Sobic.003G017900.1.p pacid=37913378 transcript=Sobic.003G017900.1 locus=Sobic.003G017900 ID=Sobic.003G017900.1.v3.2 annot-version=v3.1.1	LOC_Os12g32480.1 pacid=33153001 transcript=LOC_Os12g32480.1 locus=LOC_Os12g32480 ID=LOC_Os12g32480.1.MSUv7.0 annot-version=v7.0
OG0004751	"Sobic.003G181000.2.p pacid=37913379 transcript=Sobic.003G181000.2 locus=Sobic.003G181000 ID=Sobic.003G181000.2.v3.2 annot-version=v3.1.1, Sobic.006G270000.1.p pacid=37947316 transcript=Sobic.006G270000.1 locus=Sobic.006G270000 ID=Sobic.006G270000.1.v3.2 annot-version=v3.1.1, Sobic.002G154100.3.p pacid=37953609 transcript=Sobic.002G154100.3 locus=Sobic.002G154100 ID=Sobic.002G154100.3.v3.2 annot-version=v3.1.1"	LOC_Os04g58380.1 pacid=33111880 transcript=LOC_Os04g58380.1 locus=LOC_Os04g58380 ID=LOC_Os04g58380.1.MSUv7.0 annot-version=v7.0
OG0001322	Sobic.003G335300.2.p pacid=37913380 transcript=Sobic.003G335300.2 locus=Sobic.003G335300 ID=Sobic.003G335300.2.v3.2 annot-version=v3.1.1	LOC_Os01g60110.1 pacid=33122178 transcript=LOC_Os01g60110.1 locus=LOC_Os01g60110 ID=LOC_Os01g60110.1.MSUv7.0 annot-version=v7.0
OG0012686	Sobic.003G399700.1.p pacid=37913382 transcript=Sobic.003G399700.1 locus=Sobic.003G399700 ID=Sobic.003G399700.1.v3.2 annot-version=v3.1.1	"LOC_Os01g68589.1 pacid=33122853 transcript=LOC_Os01g68589.1 locus=LOC_Os01g68589 ID=LOC_Os01g68589.1.MSUv7.0 annot-version=v7.0, LOC_Os01g68580.1 pacid=33123308 transcript=LOC_Os01g68580.1 locus=LOC_Os01g68580 ID=LOC_Os01g68580.1.MSUv7.0 annot-version=v7.0"
OG0006511	Sobic.003G043900.1.p pacid=37913384 transcript=Sobic.003G043900.1 locus=Sobic.003G043900 ID=Sobic.003G043900.1.v3.2 annot-version=v3.1.1	LOC_Os01g14090.1 pacid=33121316 transcript=LOC_Os01g14090.1 locus=LOC_Os01g14090 ID=LOC_Os01g14090.1.MSUv7.0 annot-version=v7.0
OG0013639	Sobic.003G272600.1.p pacid=37913389 transcript=Sobic.003G272600.1 locus=Sobic.003G272600 ID=Sobic.003G272600.1.v3.2 annot-version=v3.1.1	"LOC_Os01g51030.1 pacid=33124093 transcript=LOC_Os01g51030.1 locus=LOC_Os01g51030 ID=LOC_Os01g51030.1.MSUv7.0 annot-version=v7.0, LOC_Os05g46440.1 pacid=33158062 transcript=LOC_Os05g46440.1 locus=LOC_Os05g46440 ID=LOC_Os05g46440.1.MSUv7.0 annot-version=v7.0"
OG0011954	"Sobic.003G243100.1.p pacid=37913390 transcript=Sobic.003G243100.1 locus=Sobic.003G243100 ID=Sobic.003G243100.1.v3.2 annot-version=v3.1.1, Sobic.003G243000.3.p pacid=37914608 transcript=Sobic.003G243000.3 locus=Sobic.003G243000 ID=Sobic.003G243000.3.v3.2 annot-version=v3.1.1"	"LOC_Os04g30390.1 pacid=33108056 transcript=LOC_Os04g30390.1 locus=LOC_Os04g30390 ID=LOC_Os04g30390.1.MSUv7.0 annot-version=v7.0, LOC_Os04g30840.1 pacid=33112012 transcript=LOC_Os04g30840.1 locus=LOC_Os04g30840 ID=LOC_Os04g30840.1.MSUv7.0 annot-version=v7.0"
OG0011634	Sobic.003G212600.1.p pacid=37913391 transcript=Sobic.003G212600.1 locus=Sobic.003G212600 ID=Sobic.003G212600.1.v3.2 annot-version=v3.1.1	LOC_Os01g42040.1 pacid=33125986 transcript=LOC_Os01g42040.1 locus=LOC_Os01g42040 ID=LOC_Os01g42040.1.MSUv7.0 annot-version=v7.0
OG0000412	"Sobic.003G329500.1.p pacid=37913394 transcript=Sobic.003G329500.1 locus=Sobic.003G329500 ID=Sobic.003G329500.1.v3.2 annot-version=v3.1.1, Sobic.009G180700.1.p pacid=37921966 transcript=Sobic.009G180700.1 locus=Sobic.009G180700 ID=Sobic.009G180700.1.v3.2 annot-version=v3.1.1"	LOC_Os01g59350.1 pacid=33119432 transcript=LOC_Os01g59350.1 locus=LOC_Os01g59350 ID=LOC_Os01g59350.1.MSUv7.0 annot-version=v7.0
OG0008112	Sobic.003G198300.1.p pacid=37913396 transcript=Sobic.003G198300.1 locus=Sobic.003G198300 ID=Sobic.003G198300.1.v3.2 annot-version=v3.1.1	LOC_Os01g40110.1 pacid=33121202 transcript=LOC_Os01g40110.1 locus=LOC_Os01g40110 ID=LOC_Os01g40110.1.MSUv7.0 annot-version=v7.0
OG0003945	Sobic.003G117300.2.p pacid=37913400 transcript=Sobic.003G117300.2 locus=Sobic.003G117300 ID=Sobic.003G117300.2.v3.2 annot-version=v3.1.1	LOC_Os01g15310.1 pacid=33122563 transcript=LOC_Os01g15310.1 locus=LOC_Os01g15310 ID=LOC_Os01g15310.1.MSUv7.0 annot-version=v7.0
OG0005717	Sobic.003G321700.1.p pacid=37913401 transcript=Sobic.003G321700.1 locus=Sobic.003G321700 ID=Sobic.003G321700.1.v3.2 annot-version=v3.1.1	"LOC_Os01g57910.1 pacid=33121815 transcript=LOC_Os01g57910.1 locus=LOC_Os01g57910 ID=LOC_Os01g57910.1.MSUv7.0 annot-version=v7.0, LOC_Os03g02420.1 pacid=33132156 transcript=LOC_Os03g02420.1 locus=LOC_Os03g02420 ID=LOC_Os03g02420.1.MSUv7.0 annot-version=v7.0"
OG0006751	Sobic.003G223800.2.p pacid=37913402 transcript=Sobic.003G223800.2 locus=Sobic.003G223800 ID=Sobic.003G223800.2.v3.2 annot-version=v3.1.1	LOC_Os01g43320.1 pacid=33124659 transcript=LOC_Os01g43320.1 locus=LOC_Os01g43320 ID=LOC_Os01g43320.1.MSUv7.0 annot-version=v7.0
OG0000451	Sobic.003G348100.1.p pacid=37913403 transcript=Sobic.003G348100.1 locus=Sobic.003G348100 ID=Sobic.003G348100.1.v3.2 annot-version=v3.1.1	LOC_Os01g61940.1 pacid=33124614 transcript=LOC_Os01g61940.1 locus=LOC_Os01g61940 ID=LOC_Os01g61940.1.MSUv7.0 annot-version=v7.0
OG0000588	Sobic.003G017200.1.p pacid=37913404 transcript=Sobic.003G017200.1 locus=Sobic.003G017200 ID=Sobic.003G017200.1.v3.2 annot-version=v3.1.1	LOC_Os01g11940.1 pacid=33119132 transcript=LOC_Os01g11940.1 locus=LOC_Os01g11940 ID=LOC_Os01g11940.1.MSUv7.0 annot-version=v7.0
OG0001284	"Sobic.003G249700.1.p pacid=37913405 transcript=Sobic.003G249700.1 locus=Sobic.003G249700 ID=Sobic.003G249700.1.v3.2 annot-version=v3.1.1, Sobic.009G233400.1.p pacid=37921081 transcript=Sobic.009G233400.1 locus=Sobic.009G233400 ID=Sobic.009G233400.1.v3.2 annot-version=v3.1.1, Sobic.005G091700.1.p pacid=37923590 transcript=Sobic.005G091700.1 locus=Sobic.005G091700 ID=Sobic.005G091700.1.v3.2 annot-version=v3.1.1"	LOC_Os01g54870.1 pacid=33122529 transcript=LOC_Os01g54870.1 locus=LOC_Os01g54870 ID=LOC_Os01g54870.1.MSUv7.0 annot-version=v7.0
OG0000889	Sobic.003G412800.1.p pacid=37913407 transcript=Sobic.003G412800.1 locus=Sobic.003G412800 ID=Sobic.003G412800.1.v3.2 annot-version=v3.1.1	LOC_Os01g70390.1 pacid=33120485 transcript=LOC_Os01g70390.1 locus=LOC_Os01g70390 ID=LOC_Os01g70390.1.MSUv7.0 annot-version=v7.0
OG0003462	Sobic.003G273200.2.p pacid=37913408 transcript=Sobic.003G273200.2 locus=Sobic.003G273200 ID=Sobic.003G273200.2.v3.2 annot-version=v3.1.1	LOC_Os01g51140.1 pacid=33125824 transcript=LOC_Os01g51140.1 locus=LOC_Os01g51140 ID=LOC_Os01g51140.1.MSUv7.0 annot-version=v7.0
OG0008612	Sobic.003G375100.2.p pacid=37913410 transcript=Sobic.003G375100.2 locus=Sobic.003G375100 ID=Sobic.003G375100.2.v3.2 annot-version=v3.1.1	LOC_Os01g65560.1 pacid=33123058 transcript=LOC_Os01g65560.1 locus=LOC_Os01g65560 ID=LOC_Os01g65560.1.MSUv7.0 annot-version=v7.0
OG0015091	Sobic.003G321500.1.p pacid=37913415 transcript=Sobic.003G321500.1 locus=Sobic.003G321500 ID=Sobic.003G321500.1.v3.2 annot-version=v3.1.1	LOC_Os01g57890.1 pacid=33118787 transcript=LOC_Os01g57890.1 locus=LOC_Os01g57890 ID=LOC_Os01g57890.1.MSUv7.0 annot-version=v7.0
OG0012335	Sobic.003G313800.1.p pacid=37913416 transcript=Sobic.003G313800.1 locus=Sobic.003G313800 ID=Sobic.003G313800.1.v3.2 annot-version=v3.1.1	LOC_Os01g56810.1 pacid=33121633 transcript=LOC_Os01g56810.1 locus=LOC_Os01g56810 ID=LOC_Os01g56810.1.MSUv7.0 annot-version=v7.0
OG0010542	Sobic.003G376500.2.p pacid=37913419 transcript=Sobic.003G376500.2 locus=Sobic.003G376500 ID=Sobic.003G376500.2.v3.2 annot-version=v3.1.1	LOC_Os01g65730.1 pacid=33123676 transcript=LOC_Os01g65730.1 locus=LOC_Os01g65730 ID=LOC_Os01g65730.1.MSUv7.0 annot-version=v7.0
OG0013653	Sobic.003G076500.2.p pacid=37913428 transcript=Sobic.003G076500.2 locus=Sobic.003G076500 ID=Sobic.003G076500.2.v3.2 annot-version=v3.1.1	LOC_Os01g04930.1 pacid=33125400 transcript=LOC_Os01g04930.1 locus=LOC_Os01g04930 ID=LOC_Os01g04930.1.MSUv7.0 annot-version=v7.0
OG0003005	Sobic.003G262200.1.p pacid=37913432 transcript=Sobic.003G262200.1 locus=Sobic.003G262200 ID=Sobic.003G262200.1.v3.2 annot-version=v3.1.1	LOC_Os01g49470.1 pacid=33126567 transcript=LOC_Os01g49470.1 locus=LOC_Os01g49470 ID=LOC_Os01g49470.1.MSUv7.0 annot-version=v7.0
OG0008249	Sobic.003G306200.5.p pacid=37913433 transcript=Sobic.003G306200.5 locus=Sobic.003G306200 ID=Sobic.003G306200.5.v3.2 annot-version=v3.1.1	"LOC_Os08g07540.1 pacid=33107068 transcript=LOC_Os08g07540.1 locus=LOC_Os08g07540 ID=LOC_Os08g07540.1.MSUv7.0 annot-version=v7.0, LOC_Os01g55880.1 pacid=33122836 transcript=LOC_Os01g55880.1 locus=LOC_Os01g55880 ID=LOC_Os01g55880.1.MSUv7.0 annot-version=v7.0"
OG0000696	Sobic.003G293200.1.p pacid=37913438 transcript=Sobic.003G293200.1 locus=Sobic.003G293200 ID=Sobic.003G293200.1.v3.2 annot-version=v3.1.1	LOC_Os09g36090.1 pacid=33143171 transcript=LOC_Os09g36090.1 locus=LOC_Os09g36090 ID=LOC_Os09g36090.1.MSUv7.0 annot-version=v7.0
OG0007057	Sobic.003G072400.1.p pacid=37913440 transcript=Sobic.003G072400.1 locus=Sobic.003G072400 ID=Sobic.003G072400.1.v3.2 annot-version=v3.1.1	LOC_Os01g05480.3 pacid=33124033 transcript=LOC_Os01g05480.3 locus=LOC_Os01g05480 ID=LOC_Os01g05480.3.MSUv7.0 annot-version=v7.0
OG0003646	Sobic.003G275300.1.p pacid=37913441 transcript=Sobic.003G275300.1 locus=Sobic.003G275300 ID=Sobic.003G275300.1.v3.2 annot-version=v3.1.1	"LOC_Os01g51540.1 pacid=33122035 transcript=LOC_Os01g51540.1 locus=LOC_Os01g51540 ID=LOC_Os01g51540.1.MSUv7.0 annot-version=v7.0, LOC_Os06g40910.1 pacid=33148468 transcript=LOC_Os06g40910.1 locus=LOC_Os06g40910 ID=LOC_Os06g40910.1.MSUv7.0 annot-version=v7.0"
OG0003846	Sobic.003G375700.1.p pacid=37913442 transcript=Sobic.003G375700.1 locus=Sobic.003G375700 ID=Sobic.003G375700.1.v3.2 annot-version=v3.1.1	LOC_Os01g65630.1 pacid=33125622 transcript=LOC_Os01g65630.1 locus=LOC_Os01g65630 ID=LOC_Os01g65630.1.MSUv7.0 annot-version=v7.0
OG0012675	Sobic.003G074300.1.p pacid=37913444 transcript=Sobic.003G074300.1 locus=Sobic.003G074300 ID=Sobic.003G074300.1.v3.2 annot-version=v3.1.1	"LOC_Os01g05100.1 pacid=33121672 transcript=LOC_Os01g05100.1 locus=LOC_Os01g05100 ID=LOC_Os01g05100.1.MSUv7.0 annot-version=v7.0, LOC_Os03g47540.1 pacid=33131788 transcript=LOC_Os03g47540.1 locus=LOC_Os03g47540 ID=LOC_Os03g47540.1.MSUv7.0 annot-version=v7.0"
OG0003012	Sobic.003G130000.1.p pacid=37913445 transcript=Sobic.003G130000.1 locus=Sobic.003G130000 ID=Sobic.003G130000.1.v3.2 annot-version=v3.1.1	LOC_Os01g16910.1 pacid=33121271 transcript=LOC_Os01g16910.1 locus=LOC_Os01g16910 ID=LOC_Os01g16910.1.MSUv7.0 annot-version=v7.0
OG0004770	Sobic.003G108600.2.p pacid=37913447 transcript=Sobic.003G108600.2 locus=Sobic.003G108600 ID=Sobic.003G108600.2.v3.2 annot-version=v3.1.1	LOC_Os01g01160.1 pacid=33126694 transcript=LOC_Os01g01160.1 locus=LOC_Os01g01160 ID=LOC_Os01g01160.1.MSUv7.0 annot-version=v7.0
OG0002456	"Sobic.003G353100.1.p pacid=37913450 transcript=Sobic.003G353100.1 locus=Sobic.003G353100 ID=Sobic.003G353100.1.v3.2 annot-version=v3.1.1, Sobic.001G032900.1.p pacid=37942063 transcript=Sobic.001G032900.1 locus=Sobic.001G032900 ID=Sobic.001G032900.1.v3.2 annot-version=v3.1.1"	"LOC_Os08g41980.1 pacid=33102672 transcript=LOC_Os08g41980.1 locus=LOC_Os08g41980 ID=LOC_Os08g41980.1.MSUv7.0 annot-version=v7.0, LOC_Os03g60760.1 pacid=33126958 transcript=LOC_Os03g60760.1 locus=LOC_Os03g60760 ID=LOC_Os03g60760.1.MSUv7.0 annot-version=v7.0"
OG0017430	Sobic.003G319300.1.p pacid=37913452 transcript=Sobic.003G319300.1 locus=Sobic.003G319300 ID=Sobic.003G319300.1.v3.2 annot-version=v3.1.1	LOC_Os01g57480.1 pacid=33124779 transcript=LOC_Os01g57480.1 locus=LOC_Os01g57480 ID=LOC_Os01g57480.1.MSUv7.0 annot-version=v7.0
OG0002421	Sobic.003G292600.2.p pacid=37913453 transcript=Sobic.003G292600.2 locus=Sobic.003G292600 ID=Sobic.003G292600.2.v3.2 annot-version=v3.1.1	LOC_Os01g54050.1 pacid=33120957 transcript=LOC_Os01g54050.1 locus=LOC_Os01g54050 ID=LOC_Os01g54050.1.MSUv7.0 annot-version=v7.0
OG0013307	Sobic.003G051700.1.p pacid=37913456 transcript=Sobic.003G051700.1 locus=Sobic.003G051700 ID=Sobic.003G051700.1.v3.2 annot-version=v3.1.1	LOC_Os01g07590.1 pacid=33121066 transcript=LOC_Os01g07590.1 locus=LOC_Os01g07590 ID=LOC_Os01g07590.1.MSUv7.0 annot-version=v7.0
OG0006484	"Sobic.003G034100.1.p pacid=37913457 transcript=Sobic.003G034100.1 locus=Sobic.003G034100 ID=Sobic.003G034100.1.v3.2 annot-version=v3.1.1, Sobic.003G147600.2.p pacid=37914514 transcript=Sobic.003G147600.2 locus=Sobic.003G147600 ID=Sobic.003G147600.2.v3.2 annot-version=v3.1.1, Sobic.002G070901.1.p pacid=37955235 transcript=Sobic.002G070901.1 locus=Sobic.002G070901 ID=Sobic.002G070901.1.v3.2 annot-version=v3.1.1"	LOC_Os04g02680.1 pacid=33110586 transcript=LOC_Os04g02680.1 locus=LOC_Os04g02680 ID=LOC_Os04g02680.1.MSUv7.0 annot-version=v7.0
OG0009654	Sobic.003G363000.2.p pacid=37913459 transcript=Sobic.003G363000.2 locus=Sobic.003G363000 ID=Sobic.003G363000.2.v3.2 annot-version=v3.1.1	LOC_Os01g63950.1 pacid=33126345 transcript=LOC_Os01g63950.1 locus=LOC_Os01g63950 ID=LOC_Os01g63950.1.MSUv7.0 annot-version=v7.0
OG0000253	Sobic.003G156200.1.p pacid=37913463 transcript=Sobic.003G156200.1 locus=Sobic.003G156200 ID=Sobic.003G156200.1.v3.2 annot-version=v3.1.1	LOC_Os01g24780.1 pacid=33121481 transcript=LOC_Os01g24780.1 locus=LOC_Os01g24780 ID=LOC_Os01g24780.1.MSUv7.0 annot-version=v7.0
OG0000051	"Sobic.003G047800.1.p pacid=37913464 transcript=Sobic.003G047800.1 locus=Sobic.003G047800 ID=Sobic.003G047800.1.v3.2 annot-version=v3.1.1, Sobic.003G047700.1.p pacid=37918507 transcript=Sobic.003G047700.1 locus=Sobic.003G047700 ID=Sobic.003G047700.1.v3.2 annot-version=v3.1.1"	LOC_Os10g09990.1 pacid=33099245 transcript=LOC_Os10g09990.1 locus=LOC_Os10g09990 ID=LOC_Os10g09990.1.MSUv7.0 annot-version=v7.0
